row_no,worker_id,department_code,damage_amount_thb,warehouse,status,incident_date_raw,deducted_date_raw,incident_date_type,deducted_date_type,note_extra
1,e7f94e3e,BM1,35,2,,None,None,NoneType,NoneType,
2,d992083f,BM3,83,1,,None,None,NoneType,NoneType,
3,UNK-62fed0ff,BM1,179,2,,None,None,NoneType,NoneType,
4,a6366058,BM2,81.08,1,,None,None,NoneType,NoneType,
5,4c7948ee,BM3,34.62,2,,None,None,NoneType,NoneType,
6,5bd2e394,BM1,124.14,,หักเงินแล้ว,'แพ็คผิด',None,str,NoneType,
7,a1434df1,BM1,34.62,,หักเงินแล้ว,'แพ็คผิดวันที่ 13/11','หักวันจันทร์ที่ 24.11.68',str,str,
8,c6b3aa45,BM1,34.62,,หักเงินแล้ว,'แพ็คผิดวันที่ 13/11',None,str,NoneType,
9,ab40dc68,BM1,33.05,,หักเงินแล้ว,'แพ็คผิดวันที่ 06/12','หักเงินวันพุธที่ 17.12.68',str,str,
10,84b2c8de,BM1,63,,หักเงินแล้ว,'ทำของเสียหาย','หักเงินวันศุกร์ที่ 19.12.68',str,str,
11,UNK-8aa4b3d5,BM1,34.12,,หักเงินแล้ว,'แพ็คผิด 14/12/68','หักเงินวันศุกร์ที่ 19.12.68',str,str,
12,aef22320,BM1,30,,ยังไม่ได้หักเงิน,'แพ็คผิดวันที่ 30/09/2025','หักเงินวันจันทร์ที่ 12.01.69',str,str,
13,UNK-a04c7331,BM1,34.62,,ยังไม่ได้หักเงิน,'แพ็คผิดวันที่ 5/10/2025','ไม่ได้หักเนื่องจากลาออกไปแล้ว',str,str,
14,4078456a,BM1,69,,ยังไม่ได้หักเงิน,None,None,NoneType,NoneType,
15,c824c6d0,BM1,913.82,,หักเงินแล้ว,'แพ็คผิดวันที่ 25/02/69','913.82 ให้หัก 3 วัน วันที่ 11.03.69 หักแล้ว 294.60 ต้องหักอีก 619.22 หักวันที่ 12-13.03.69 วันละ 309.61',str,str,
16,48de4b3e,BM1,119,,หักเงินแล้ว,'แพ็คผิดวันที่ 04/03/69 & 28/02/69','หักวันที่ 13.03.2569',str,str,
17,a6366058,BM1,80.03,,หักเงินแล้ว,'แพ็คผิด 17/12/2025','หักเงิน วันที่ 7 มีนาคม ',str,str,
19,e2e5b9c3,BM3,1030.05,,ยังไม่ได้หักเงิน,'แพ็คผิดเมื่อวันที่ 01/04/69','หักในค่าแรง 500 ขาดอีก530.05',str,str,
20,3f80ac99,BM1,852.72,,หักเงินแล้ว,'17/03/2569','16/04/2569',str,str,
21,e367d0a3,BM3,354,,หักเงินแล้ว,'24/03/2569',"datetime.datetime(2569, 9, 4, 0, 0)",str,datetime,
