sheet,row_in_sheet,worker_id,department_code,shift_str,checkin_raw,checkout_raw,checkin_type,checkout_type,note_K,late_text_P,late_min_Q,shift_start_S,shift_end_T,hours_worked_U,late_min_deducted_V,late_deduction_W,early_min_X,wage_per_min_Y,early_deduction_Z,daily_rate_AA,ot_before_AB,ot_before_hours_AC,ot_after_AD,ot_after_hours_AE,total_ot_AF,ot_pay_AG,gross_wage_AH,damage_deduction_AI,other_deduction_AJ
วันที่ 1,9,21a1ddde,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 9, 47, 34)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,10,751e62e0,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 44, 45)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,11,2248cbf1,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 30, 39)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,12,a1434df1,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 29, 48)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,13,2c36278f,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 27, 40)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,14,87b45132,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 26, 45)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,15,c929a433,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 24, 40)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,16,7c05ac8b,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 25, 2)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,17,5bd2e394,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 24, 4)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,18,fb02fcb0,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 23, 47)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,19,ab40dc68,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 23, 52)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,20,a5267a49,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 27, 22)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,21,d9a58a3b,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 22, 38)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,22,50abc11e,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 21, 24)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,23,7cc640df,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 21, 19)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,24,8bb009f9,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 19, 40)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,25,71997662,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 19, 7)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,26,eb21e2fe,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 19, 3)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,27,aef22320,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 18, 28)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,28,1842fe5c,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 18, 42)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,29,4e0d6495,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 18, 33)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,30,c824c6d0,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 16, 57)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,31,3f80ac99,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 16, 47)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,32,63713ac2,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 13, 56)","datetime.time(17, 30)",datetime,time,,,,,,8,,,,,,,,,,,,,,,
วันที่ 1,33,0cc1316e,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 12, 26)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,34,61891806,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 12, 22)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,35,3402e0ab,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 30, 35)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
วันที่ 1,36,fd6cb95d,BM1,08:30 - 17:30,"datetime.datetime(2026, 4, 1, 8, 12, 14)","datetime.time(17, 30)",datetime,time,,,,,,,,,,,,,,,,,,,,,
